CD_MUNICIPIO,NM_MUNICIPIO,LATITUDE,LONGITUDE
85146,PAVERAMA,-29.5521033,-51.7343769
89567,PEDRAS ALTAS,-31.7324042,-53.585424
87890,PEJUÇARA,-28.4217646,-53.6554254
87360,PICADA CAFÉ,-29.446421,-51.136725
85340,PINHAL,-27.5114158,-53.2163814
89362,PINHAL DA SERRA,-27.8743529,-51.1706149
87386,PINHAL GRANDE,-29.3472446,-53.3343023
87408,PINHEIRINHO DO VALE,-27.2111177,-53.6144253
87939,PINHEIRO MACHADO,-31.5792646,-53.3822191
89540,PINTO BANDEIRA,-29.0977191,-51.4498258
84778,PIRAPÓ,-28.045428,-55.1987198
87955,PIRATINI,-31.448451,-53.1039931
87971,PLANALTO,-27.3297033,-53.0575473
87440,PONTE PRETA,-27.6577598,-52.4895431
87424,PONTÃO,-28.0599735,-52.6779378
88030,PORTO LUCENA,-27.8532622,-55.0198385
87467,PORTO MAUÁ,-27.5740153,-54.6690808
87483,PORTO VERA CRUZ,-27.7354566,-54.9009622
88056,PORTO XAVIER,-27.9061459,-55.1395757
87998,PORTÃO,-29.6932554,-51.2331837
85421,POUSO NOVO,-29.1695872,-52.2085122
86126,POÇO DAS ANTAS,-29.4512516,-51.6690936
87505,PRESIDENTE LUCENA,-29.517549,-51.179798
84760,PROGRESSO,-29.2419958,-52.3108869
85405,PROTÁSIO ALVES,-28.7586297,-51.4741516
88072,PUTINGA,-29.0017469,-52.1566367
88099,QUARAÍ,-30.3818093,-56.4526576
89389,QUATRO IRMÃOS,-27.8229301,-52.4427548
87521,QUEVEDOS,-29.3529828,-54.0687208
84875,QUINZE DE NOVEMBRO,-28.742279,-53.0951692
88110,REDENTORA,-27.6616073,-53.6421338
85766,RELVADO,-29.1121081,-52.0713979
88137,RESTINGA SÊCA,-29.8145611,-53.3734546
87548,RIO DOS ÍNDIOS,-27.3010535,-52.8406196
88170,RIO PARDO,-29.9820554,-52.3702447
85740,RIOZINHO,-29.6404582,-50.4596262
88196,ROCA SALES,-29.2872555,-51.8724318
88218,RODEIO BONITO,-27.4725021,-53.1705906
89400,ROLADOR,-28.2558989,-54.8179212
88234,ROLANTE,-29.6527945,-50.5769391
88250,RONDA ALTA,-27.782064,-52.8078036
88277,RONDINHA,-27.8295534,-52.9084074
88293,ROQUE GONZALES,-28.1324578,-55.0263416
88315,ROSÁRIO DO SUL,-30.2527151,-54.9179382
87564,SAGRADA FAMÍLIA,-27.7085454,-53.1364113
85561,SALDANHA MARINHO,-28.3966396,-53.0952929
89753,SALTO DO JACUÍ,-29.0899771,-53.2111244
87580,SALVADOR DAS MISSÕES,-28.1232686,-54.8354107
88331,SALVADOR DO SUL,-29.4395698,-51.5103295
88358,SANANDUVA,-27.9499376,-51.8074435
88455,SANT ANA DO LIVRAMENTO,-30.8894097,-55.5317694
88374,SANTA BÁRBARA DO SUL,-28.3654722,-53.2510995
89247,SANTA CECÍLIA DO SUL,-28.1625105,-51.9297926
87602,SANTA CLARA DO SUL,-29.4686024,-52.0868635
88390,SANTA CRUZ DO SUL,-29.714209,-52.4285807
89443,SANTA MARGARIDA DO SUL,-30.339117,-54.0856735
88412,SANTA MARIA,-29.6860512,-53.8069214
86207,SANTA MARIA DO HERVAL,-29.4977269,-50.9919419
88471,SANTA ROSA,-27.8643546,-54.4779287
87629,SANTA TEREZA,-29.1697808,-51.7363155
88439,SANTANA DA BOA VISTA,-30.8736867,-53.1148304
88510,SANTIAGO,-29.189675,-54.866624
88552,SANTO ANTÔNIO DA PATRULHA,-29.826768,-50.517489
88579,SANTO ANTÔNIO DAS MISSÕES,-28.5117897,-55.2290047
87645,SANTO ANTÔNIO DO PALMA,-28.4946558,-52.0254769
87661,SANTO ANTÔNIO DO PLANALTO,-28.3991804,-52.6910319
88595,SANTO AUGUSTO,-27.852577,-53.777605
88617,SANTO CRISTO,-27.826259,-54.661963
87688,SANTO EXPEDITO DO SUL,-27.9098613,-51.6433072
88536,SANTO ÂNGELO,-28.3000481,-54.2669971
88994,SAPIRANGA,-29.6392382,-51.0068586
89010,SAPUCAIA DO SUL,-29.8197019,-51.1608722
89036,SARANDI,-27.9310978,-52.8630798
89052,SEBERI,-27.4828134,-53.4013251
85707,SEDE NOVA,-27.636739,-53.94929
85529,SEGREDO,-29.3431272,-52.9793788
89079,SELBACH,-28.6299869,-52.9530657
88765,SENADOR SALGADO FILHO,-28.0270233,-54.5435136
87882,SENTINELA DO SUL,-30.6118857,-51.5817117
89095,SERAFINA CORRÊA,-28.7120266,-51.9343269
89117,SERTÃO,-27.9853815,-52.257587
87920,SERTÃO SANTANA,-30.4617134,-51.6041992
88706,SETE DE SETEMBRO,-28.1297132,-54.462746
89133,SEVERIANO DE ALMEIDA,-27.4332178,-52.1155068
84956,SILVEIRA MARTINS,-29.64318,-53.5865469
87947,SINIMBU,-29.5346879,-52.5199906
89176,SOBRADINHO,-29.4131826,-53.0256794
89192,SOLEDADE,-28.8272467,-52.5109157
88633,SÃO BORJA,-28.6592237,-56.0044295
84832,SÃO DOMINGOS DO SUL,-28.5297239,-51.8905306
